2014,4択,"A、B、Cなどのアルファベットを用いて日本語の音を表記したものを何という？
(1) 仮名 (2) 漢字 (3) 数字 (4) ローマ字",(4) ローマ字,,,タグ
2014,4択,"青森県を流れる奥入瀬川の源流となっている湖は？
(1) 十和田湖 (2) 田沢湖 (3) 諏訪湖 (4) 中禅寺湖",(1) 十和田湖
2014,4択,"アニメ『サザエさん』で、磯野家の隣に住んでいるのは？
(1) 中島家 (2) 花沢家 (3) 穴子家 (4) 伊佐坂家",(4) 伊佐坂家
2014,4択,"テニス四大大会のうち、1年で最初に行われるのは？
(1) 全英オープン (2) 全仏オープン (3) 全米オープン (4) 全豪オープン",(4) 全豪オープン
2014,4択,"茹でて食べる野菜であるカリフラワーとブロッコリーは、共に何科？
(1) アブラナ科 (2) キク科 (3) セリ科 (4) ナス科",(1) アブラナ科
2014,4択,"ベラスケスの『ラス・メニーナス』やゴヤの『裸のマハ』などを収蔵する、スペインの美術館は？
(1) ソフィア王妃芸術センター (2) ティッセン=ボルネミッサ美術館 (3) カタルーニャ美術館 (4) プラド美術館",(4) プラド美術館
2014,4択,"年が若いことを指す「弱冠」とは本来、何歳の男子のこと？
(1) 14歳 (2) 16歳 (3) 18歳 (4) 20歳",(4) 20歳
2014,4択,"志賀直哉の小説『小僧の神様』で、小僧が議員からおごってもらう食べ物は？
(1) カツレツ (2) 寿司 (3) かけそば (4) 牛鍋",(2) 寿司
2014,4択,"「ハノン」「チェルニー」「バイエル」といえば、どんな楽器の教則本？
(1) ギター (2) ヴァイオリン (3) ハープ (4) ピアノ",(4) ピアノ
2014,4択,"アメリカ大統領のマディスン、モンロー、ポーク、ブキャナン、ガーフィールドに共通するファーストネームは？
(1) ジョージ (2) ジョン (3) トーマス (4) ジェームズ",(4) ジェームズ
2014,4択,"「わだばゴッホになる」という名言でも知られる、青森県出身の日本を代表する版画家は？
(1) 池田満寿夫 (2) 山下清 (3) 山本鼎 (4) 棟方志功",(4) 棟方志功
2014,4択,"彼岸や半夏生などのように、二十四節気以外の暦の移り変わりを表す日を何という？
(1) 雑節 (2) 異節 (3) 別節 (4) 変節",(1) 雑節
2014,4択,"バスケットボールのルールでは、自チームがボールを取ってから何秒以内にシュートをしなければならない？
(1) 20秒 (2) 24秒 (3) 28秒 (4) 32秒",(2) 24秒
2014,4択,"川治温泉、塩原温泉、鬼怒川温泉といえば、どこの都道府県にある温泉地？
(1) 栃木県 (2) 茨城県 (3) 群馬県 (4) 福島県",(1) 栃木県
2014,4択,"面長で色白の顔を、ある植物の実に見立てて「何顔」という？
(1) 豆実顔 (2) 柿実顔 (3) 銀杏実顔 (4) 瓜実顔",(4) 瓜実顔
2014,4択,"紙の大きさで「文庫本サイズ」ともいわれるサイズは？
(1) A5 (2) B6 (3) A6 (4) B7",(3) A6
2014,4択,"1441年の嘉吉の乱で暗殺された、室町幕府の将軍は？
(1) 足利義持 (2) 足利義教 (3) 足利義勝 (4) 足利義視",(2) 足利義教
2014,4択,"ジンとベルモットを混ぜ合わせて作る、「カクテルの王様」とも呼ばれるカクテルは？
(1) アメリカーノ (2) マンハッタン (3) マティーニ (4) ギムレット",(3) マティーニ
2014,4択,"1917年に高木弘と本多光太郎によって発明された磁石鋼は？
(1) HK鋼 (2) KM鋼 (3) MK鋼 (4) KS鋼",(4) KS鋼
2014,4択,"新聞の切り抜きや布きれなどを画面に貼りつける、絵画の技法は？
(1) デカルコマニー (2) スパッタリング (3) コラージュ (4) フロッタージュ",(3) コラージュ
2014,4択,"今シーズンからウルグアイ代表のディエゴ・フォルランがプレーするJリーグのチームは？
(1) 鹿島アントラーズ (2) 浦和レッズ (3) 名古屋グランパス (4) セレッソ大阪",(4) セレッソ大阪
2014,4択,"日本で、地方裁判所と同じ数だけある裁判所は？
(1) 最高裁判所 (2) 高等裁判所 (3) 家庭裁判所 (4) 簡易裁判所",(3) 家庭裁判所
2014,4択,"「もしかしてだけど～」という歌ネタで人気のお笑いコンビは？
(1) 囲碁将棋 (2) 流れ星 (3) 2700 (4) どぶろっく",(4) どぶろっく
2014,4択,"1095年、教皇ウルバヌス2世が十字軍の派遣を宣言したキリスト教の会議は？
(1) ニケーア公会議 (2) エフェソス公会議 (3) トリエント公会議 (4) クレルモン公会議",(4) クレルモン公会議
2014,4択,"和歌で、「みすずかる」という言葉がかかる地名は？
(1) 大和 (2) 出雲 (3) 信濃 (4) 吉野",(3) 信濃
2014,4択,"フランスとスペインの国境に挟まれた位置にあるヨーロッパの小国は？
(1) モナコ (2) アンドラ (3) サンマリノ (4) ルクセンブルク",(2) アンドラ
2014,4択,"「弘法にも筆の誤り」と同じ意味の英語のことわざで、「居眠りをする」といわれるのは？
(1) シェイクスピア (2) ナポレオン (3) ホメロス (4) コロンブス",(3) ホメロス
2014,4択,"落語『時そば』において、本当のそばの代金は何文？
(1) 12文 (2) 14文 (3) 16文 (4) 18文",(3) 16文
2014,4択,"男性用の「エゴイスト」、女性用の「チャンス」や「No.5」といった香水で知られるブランドは？
(1) シャネル (2) ジバンシー (3) エルメス (4) クリスチャン・ディオール",(1) シャネル
2014,4択,"上から見ると四葉のクローバーの形をしている、長崎にある現存する日本最古の木造洋館は？
(1) グラバー邸 (2) ドゥーフ邸 (3) グルーム邸 (4) シーボルト邸",(1) グラバー邸
2014,4択,"作家としても活躍する加藤シゲアキが所属するアイドルグループは？
(1) A.B.C-Z (2) NEWS (3) Hey!Say!JUMP (4) Kis-My-Ft2",(2) NEWS
2014,4択,"1つの三角形に、傍心はいくつある？
(1) 1つ (2) 2つ (3) 3つ (4) 4つ",(3) 3つ
2014,4択,"長さの単位「マイル」「フィート」「インチ」を漢字で書いたとき、共通する部首は？
(1) 耳偏 (2) 口偏 (3) 足偏 (4) 手偏",(2) 口偏
2014,4択,"北原白秋作詞の童謡『ゆりかごの歌』で、1番の歌詞に登場する鳥は？
(1) オウム (2) スズメ (3) ハクチョウ (4) カナリヤ",(4) カナリヤ
2014,4択,"スイスで最も人口の多い都市は？
(1) チューリッヒ (2) ローザンヌ (3) ベルン (4) ジュネーブ",(1) チューリッヒ
2014,4択,"歌手の今井美樹を妻に持つミュージシャンは？
(1) 玉置浩二 (2) 稲葉浩志 (3) 布袋寅泰 (4) TAKURO",(3) 布袋寅泰
2014,4択,"カラオケ用語の「ヒトカラ」を商標登録している、カラオケ機器のjoysoundを提供している企業は？
(1) エクシング (2) タイトー (3) 第一興商 (4) セガ",(1) エクシング
2014,4択,"昨シーズンの日本プロ野球でウラディミール・バレンティンが記録した、シーズン最多本塁打記録は何本？
(1) 60本 (2) 61本 (3) 62本 (4) 63本",(1) 60本
2014,4択,"脚の縞模様が美しいことから「森の貴婦人」とも呼ばれる動物は？
(1) ジャイアントパンダ (2) オカピ (3) コビトカバ (4) ボンゴ",(2) オカピ
2014,4択,"アメリカ軍捕虜の生体解剖事件を題材とした、遠藤周作の小説は？
(1) 『沈黙』 (2) 『深い河』 (3) 『海と毒薬』 (4) 『スキャンダル』",(3) 『海と毒薬』
2014,4択,"同じ土地でいくつかの作物を年ごとにサイクルさせて栽培することを何という？
(1) 輪作 (2) 連作 (3) 環作 (4) 巡作",(1) 輪作
2014,4択,"1764年にジェニー紡績機を発明した、イギリスの発明家は？
(1) カートライト (2) ジョン・ケイ (3) ハーグリーブス (4) クロンプトン",(3) ハーグリーブス
2014,4択,"昨年(2013年)「最も派生テレビシリーズが作られたテレビ番組」としてギネス世界記録に認定されたのは？
(1) 『ウルトラマン』 (2) 『仮面ライダー』 (3) 『美少女戦士セーラームーン』 (4) 『プリキュア』",(1) 『ウルトラマン』
2014,4択,"松尾芭蕉が「山路来て 何やらゆかし・・」と詠んだ植物は？
(1) すみれ草 (2) かすみ草 (3) れんげ草 (4) つきみ草",(1) すみれ草
2014,4択,"東南アジア最大の湖・トンレサップ湖がある国は？
(1) ベトナム (2) ラオス (3) タイ (4) カンボジア",(4) カンボジア
2014,4択,"フランスのファッションブランド「ラコステ」のトレードマークとなっている生き物は？
(1) シカ (2) ゾウ (3) トカゲ (4) ワニ",(4) ワニ
2014,4択,"リキュールの一つ「マラスキーノ」の主な原料となる果物は？
(1) レモン (2) サクランボ (3) スモモ (4) オレンジ",(2) サクランボ
2014,4択,"現在は横浜の山下公園で係留されている、日本郵船保有の貨客船は？
(1) 日枝丸 (2) 氷川丸 (3) 平安丸 (4) 秩父丸",(2) 氷川丸
2014,4択,"ギリシャ神話の美少年アドニスの化身とされる花は？
(1) ヒヤシンス (2) プリムラ (3) アネモネ (4) カトレア",(3) アネモネ
2014,4択,"ワールド・マラソン・メジャーズに指定されている日本のマラソンレースは？
(1) 東京マラソン (2) 横浜マラソン (3) 大阪マラソン (4) 福岡マラソン",(1) 東京マラソン
2014,4択,"国家公務員法、電波法、消防組織法などの法律を所管している省庁は？
(1) 内閣府 (2) 総務省 (3) 法務省 (4) 財務省",(2) 総務省
2014,4択,"今年(2014年)2月、交換留学生としてAKB48チームBを兼任することが決まった、乃木坂46のメンバーは？
(1) 白石麻衣 (2) 生田絵梨花 (3) 生駒里奈 (4) 松村沙友理",(3) 生駒里奈
2014,4択,"ピストンの往復運動によってエネルギーを生むエンジンを特に何という？
(1) リカバーエンジン (2) ラウンドエンジン (3) レシプロエンジン (4) ロータリーエンジン",(3) レシプロエンジン
2014,4択,"現在のアメリカ大統領の任期は4年ですが、ロシア大統領の任期は何年？
(1) 3年 (2) 4年 (3) 5年 (4) 6年",(4) 6年
2014,4択,"毎年12月に行われる「顔見世」でおなじみの、京都にある歌舞伎の劇場は？
(1) 東座 (2) 西座 (3) 南座 (4) 北座",(3) 南座
2014,4択,"経済用語で、国債に関する歳入・歳出を差し引いた国の「基礎的財政収支」のことを何という？
(1) フィスカル・ポリシー (2) ファンダメンタルズ (3) クラウディングアウト (4) プライマリーバランス",(4) プライマリーバランス
2014,4択,"化学実験に用いる実験器具で、「グラハム」「リービッヒ」「ジムロート」といえば何の種類？
(1) 冷却器 (2) 漏斗 (3) フラスコ (4) バーナー",(1) 冷却器
2014,4択,"大空翼、両津勘吉、車寅次郎といったキャラクターの像が立つのは、東京都の何区？
(1) 台東区 (2) 葛飾区 (3) 荒川区 (4) 足立区",(2) 葛飾区
2014,4択,"来年(2015年)、世界陸上が行われる都市はどこ？
(1) ソウル (2) シンガポール (3) バンコク (4) 北京",(4) 北京
2014,4択,"「飛騨」や「能代」が有名な漆器の種類は？
(1) 八雲塗 (2) 輪島塗 (3) 春慶塗 (4) 秀衡塗",(3) 春慶塗
2014,4択,"心臓にある4つの部屋のうち、大動脈と繋がっているのは？
(1) 左心室 (2) 左心房 (3) 右心室 (4) 右心房",(1) 左心室
2014,4択,"中央競馬の平地G1で、最も距離が長いレースは？
(1) 菊花賞 (2) ジャパンカップ (3) 天皇賞(春) (4) 有馬記念",(3) 天皇賞(春)
2014,4択,"メークインといえば「ジャガイモ」の品種ですが、メインクーンといえば何という動物の品種？
(1) ウサギ (2) ハムスター (3) リス (4) ネコ",(4) ネコ
2014,4択,"今年(2014年)1月1日からユーロを導入した国は？
(1) エストニア (2) ラトビア (3) ブルガリア (4) ルーマニア",(2) ラトビア
2014,4択,"東宝の特撮映画『ゴジラ』シリーズで、ゴジラが最初に戦った怪獣は？
(1) アンギラス (2) モスラ (3) メカゴジラ (4) キングギドラ",(1) アンギラス
2014,4択,"日本の説話に出てくる久延毘古(くえびこ)とは、何を神格化したもの？
(1) かかし (2) 地蔵 (3) 鳥居 (4) カラス",(1) かかし
2014,4択,"万物の根源を地・水・火・風の四元素であると説いた、古代ギリシアの哲学者は？
(1) ヘラクレイトス (2) エンペドクレス (3) アナクシメネス (4) プロタゴラス",(2) エンペドクレス
2014,4択,"受験参考書の「チャート式」を発行している日本の出版社は？
(1) 数研出版 (2) 実教出版 (3) 東京書籍 (4) 東京出版",(1) 数研出版
2014,4択,"くねくねと曲がりくねった山道のことを、ある動物の内臓にたとえて何という？
(1) 牛腸 (2) 羊腸 (3) 豚腸 (4) 馬腸",(2) 羊腸
2014,4択,"イギリスの人気音楽ユニット「ワン・ダイレクション」の構成人数は？
(1) 1人 (2) 3人 (3) 5人 (4) 7人",(3) 5人
2014,4択,"話の噛み合わない会話を、ある落語の題名から「何問答」という？
(1) こんにゃく問答 (2) とろろ問答 (3) たくあん問答 (4) 納豆問答",(1) こんにゃく問答
2014,4択,"日本のテレビのリモコンについている4色ボタンで、一般に1番左側のボタンの色は何？
(1) 黄 (2) 赤 (3) 青 (4) 緑",(3) 青
2014,4択,"イギリスの通信社「ロイター通信社」に名を残すポール・ジュリアス・ロイターの出身国は？
(1) フランス (2) イタリア (3) ドイツ (4) オランダ",(3) ドイツ
2014,4択,"フィギュアスケート選手の高橋大輔と町田樹が現在在籍している大学は？
(1) 関西大学 (2) 中京大学 (3) 関西学院大学 (4) 早稲田大学",(1) 関西大学
2014,4択,"広島平和記念資料館や東京都庁などを設計した建築家は？
(1) 槇文彦 (2) 安藤忠雄 (3) 丹下健三 (4) 伊東豊雄",(3) 丹下健三
2014,4択,"クライマックスのラシュモア山のシーンが有名な、ヒッチコック監督の映画は？
(1) 『レベッカ』 (2) 『北北西に進路をとれ』 (3) 『知りすぎていた男』 (4) 『サイコ』",(2) 『北北西に進路をとれ』
2014,4択,"平城京に都が遷ったときの日本の元号は？
(1) 和銅 (2) 大宝 (3) 養老 (4) 霊亀",(1) 和銅
2014,4択,"世界最南端の街「ウスアイア」を中心都市とする、南米大陸南端にある島は？
(1) フエゴ島 (2) イザベラ島 (3) サンタクルス島 (4) マルガリータ島",(1) フエゴ島
2014,4択,"英語でのタイトルを『Joy to the World』という、有名なクリスマスソングは？
(1) 『赤鼻のトナカイ』 (2) 『そりすべり』 (3) 『きよしこの夜』 (4) 『諸人こぞりて』",(4) 『諸人こぞりて』
2014,4択,"1917年に起きた「二月革命」と「十月革命」は、いずれもどこの国で起こった革命？
(1) ロシア (2) トルコ (3) イタリア (4) フランス",(1) ロシア
2014,4択,"ポロ、ゴルフ、ビートルなどの人気車両で知られる自動車メーカーは？
(1) ロールスロイス (2) アウディ (3) フォルクスワーゲン (4) BMW",(3) フォルクスワーゲン
2014,4択,"体重(kg)を身長(m)の3乗で割り、10を掛けて算出される、体型を表す指数は？
(1) ローレル指数 (2) カウプ指数 (3) ケトレー指数 (4) ブローカ指数",(1) ローレル指数
2014,4択,"山東京伝や鼠小僧次郎吉などの墓があるお寺は？
(1) 明月院 (2) 知恩院 (3) 三千院 (4) 回向院",(4) 回向院
2014,4択,"自然現象の「蜃気楼(しんきろう)」や「陽炎(かげろう)」はいつの季語？
(1) 春 (2) 夏 (3) 冬 (4) 新年",(1) 春
2014,4択,"元素記号「Tm」で表わされる元素は？
(1) タリウム (2) ツリウム (3) テルビウム (4) トリウム",(2) ツリウム
2014,4択,"神戸市にはその個人美術館もある、劇団「天井桟敷」のポスターで知られる画家・デザイナーは？
(1) 福田繁雄 (2) 横尾忠則 (3) 亀倉雄策 (4) 粟津潔",(2) 横尾忠則
2014,4択,"いわゆる「ケプラーの第3法則」で、惑星の公転周期の2乗は、太陽からの平均距離の何乗に比例する？
(1) 0.5乗 (2) 1乗 (3) 2乗 (4) 3乗",(4) 3乗
2014,4択,"検察官のバッチにデザインされている花は？
(1) 桜 (2) 菊 (3) 桐 (4) 椿",(2) 菊
2014,4択,"昨年(2013年)ノーベル平和賞を受賞したOPCW・化学兵器禁止機関が本部を置く、ヨーロッパの都市は？
(1) パリ (2) ジュネーブ (3) ローマ (4) ハーグ",(4) ハーグ
2014,4択,"日本人世界王者第1号はバンタム級の亀田和毅である、ボクシングの世界王座認定団体は？
(1) WBA (2) WBC (3) WBO (4) IBF",(3) WBO
2014,4択,"キリスト教の安息日は日曜日ですが、ユダヤ教の安息日は何曜日？
(1) 水曜日 (2) 金曜日 (3) 土曜日 (4) 日曜日",(3) 土曜日
2014,4択,"ワーズワース、ノヴァーリス、ユーゴーといえば何主義の作家？
(1) ロマン主義 (2) 自然主義 (3) 写実主義 (4) 実存主義",(1) ロマン主義
2014,4択,"本名を「芳賀隆之」というタレントは？
(1) 明石家さんま (2) 所ジョージ (3) 笑福亭鶴瓶 (4) やしきたかじん",(2) 所ジョージ
2014,4択,"古代日朝関係史の資料となった石碑で有名な、391年に即位した高句麗の第19代国王は？
(1) 東明聖王 (2) 大武神王 (3) 美川王 (4) 好太王",(4) 好太王
2014,4択,"行列力学を創始したことや不確定性原理を提唱したことで知られる理論物理学者は？
(1) ハミルトン (2) ゲーデル (3) ヘルムホルツ (4) ハイゼンベルク",(4) ハイゼンベルク
2014,4択,"インジェラと呼ばれるパンの原料となる、エチオピア原産の穀類は？
(1) テフ (2) タマリンド (3) フォニオ (4) エンバク",(1) テフ
2014,4択,"昨年(2013年)Amazon.comの創業者ジェフ・ベゾスが買収したアメリカの新聞社は？
(1) ニューヨーク・タイムズ (2) USAトゥデイ (3) シカゴ・トリビューン (4) ワシントン・ポスト",(4) ワシントン・ポスト
2014,4択,"オリンピックの開催地は、原則として大会開催の何年前に決定される？
(1) 6年前 (2) 7年前 (3) 8年前 (4) 9年前",(2) 7年前
2014,4択,"フランス・パリにあるエトワール凱旋門は、何という戦いの勝利を記念したもの？
(1) イエナの戦い (2) アウステルリッツの戦い (3) トラファルガーの海戦 (4) ライプツィヒの戦い",(2) アウステルリッツの戦い
2014,4択,"水泳選手の古橋廣之進が、世界記録を30回以上更新した泳法は？
(1) 自由形 (2) 平泳ぎ (3) バタフライ (4) 背泳ぎ",(1) 自由形
2014,4択,"内耳の異常が原因で耳鳴りを伴うめまいが繰り返し起こる病気は？
(1) ハンチントン病 (2) ゴーシェ病 (3) ベーチェット病 (4) メニエール病",(4) メニエール病
2014,4択,"美人のことを「解語の花」といいますが、これは元々誰のことを指していた言葉？
(1) 王昭君 (2) 虞美人 (3) 西施 (4) 楊貴妃",(4) 楊貴妃
2014,4択,"原宿に店がある「ククルザ」「ギャレット」といえば、どんな食べ物を売るお店？
(1) クレープ (2) フライドポテト (3) プレッツェル (4) ポップコーン",(4) ポップコーン
2014,4択,"パーンダヴァ族とカウラヴァ族の争いを全18巻にまとめた、古代インドの叙事詩は？
(1) 『パンチャタントラ』 (2) 『マハーヴァーラタ』 (3) 『カーマスートラ』 (4) 『ラーマーヤナ』",(2) 『マハーヴァーラタ』
2014,4択,"イアン・ラッシュ、ライアン・ギグス、ガレス・ベイルといえば、何という国のサッカー選手？
(1) イングランド (2) スコットランド (3) ウェールズ (4) 北アイルランド",(3) ウェールズ
2014,4択,"現在の日本の天皇・今上天皇の御名前は？
(1) 嘉仁(よしひと) (2) 裕仁(ひろひと) (3) 明仁(あきひと) (4) 徳仁(なるひと)",(3) 明仁(あきひと)
2014,4択,"今月(2014年3月)5日に、31番目の国立公園に指定されたのは？
(1) 大東諸島国立公園 (2) 奄美諸島国立公園 (3) 慶良間諸島国立公園 (4) 粟国諸島国立公園",(3) 慶良間諸島国立公園
2014,4択,"歌手としても『傷だらけの人生』などのヒット曲を歌った、往年の東映の人気俳優は？
(1) 菅原文太 (2) 石原裕次郎 (3) 小林旭 (4) 鶴田浩二",(4) 鶴田浩二
2014,4択,"新川優愛、岡本杏理、橋本愛などがモデルを務めるファッション雑誌は？
(1) nicola (2) Seventeen (3) sweet (4) CanCam",(2) Seventeen
2014,4択,"「四鏡」と呼ばれる四つの歴史物語の中で、最も古い時代を扱っているのは？
(1) 大鏡 (2) 今鏡 (3) 水鏡 (4) 増鏡",(3) 水鏡
2014,4択,"プロレスラー橋本真也の長男である、現在プロレスリングZERO-1に所属するプロレスラーは？
(1) 橋本大地 (2) 橋本友彦 (3) 橋本和樹 (4) 橋本太郎",(1) 橋本大地
2014,4択,"ベンゼンとプロペンからフェノールとアセトンを精製する化学合成法を何という？
(1) アセチル法 (2) クメン法 (3) クロール法 (4) テルミット法",(2) クメン法
2014,4択,"固形ルーの「とろけるシチュー」や「とろけるカレー」を発売している食品会社は？
(1) ハウス食品 (2) ヱスビー食品 (3) 江崎グリコ (4) 大塚食品",(2) ヱスビー食品
2014,4択,"20世紀が始まったときに内閣総理大臣だった人物は？
(1) 伊藤博文 (2) 黒田清隆 (3) 山縣有朋 (4) 松方正義",(1) 伊藤博文
2014,4択,"心筋梗塞などの治療の際、血管などを内側から広げるために用いられる金属製の筒のことを何という？
(1) カテーテル (2) バルーン (3) ステント (4) アテローム",(3) ステント
2014,4択,"能で、生きている人間のみが登場するものを何という？
(1) 今生能 (2) 現人能 (3) 現在能 (4) 実能",(3) 現在能
2014,4択,"経営戦略を立てるために、自社の強みと弱み、競争環境の機会と脅威により、自社を分析・評価する手法を何という？
(1) 3C分析 (2) 4P分析 (3) SWOT分析 (4) PEST分析",(3) SWOT分析
2014,4択,"「越後」「宮古」などの種類がある、夏の和服に使われる上等な麻織物は？
(1) 上布 (2) 帆布 (3) 葛布 (4) 伸子",(1) 上布
2014,4択,"アメリカ独立戦争のスローガン「代表なくして課税なし」はどんな税金に反対したもの？
(1) 印紙税 (2) 酒税 (3) 人頭税 (4) 相続税",(1) 印紙税
2014,ノーマル,略称をABCという、『劇的ビフォーアフター』や『アタック25』などの番組で知られる大阪のテレビ局はどこでしょう？,朝日放送(あさひほうそう)
2014,ノーマル,髪の毛が逆立つほどの激しい怒りを、「何、天を衝く(てんをつく)」というでしょう？,怒髪(どはつ)
2014,ノーマル,「ぶらつく」という意味の英語に由来する、自転車であちこちきままにぶらつくことを表す和製英語は何でしょう？,ポタリング
2014,ノーマル,1901年から1904年の作品に見られる、悲しみに満ちた初期ピカソの作風を、その時期に多く用いられた色から何というでしょう？,青の時代(あおのじだい)
2014,ノーマル,「人の形に近く、より近しい存在になるように」という願いを込めて命名された、googleが開発したスマートフォン向けOSは何でしょう？,アンドロイド
2014,ノーマル,振り子式や電子式のものがある、テンポを取るために一定の間隔でリズムを刻む音楽用具は何でしょう？,メトロノーム
2014,ノーマル,やけどや外傷が治る際にできる、皮膚の線維成分が異常に増殖し、周囲よりも盛り上がった状態のことを何というでしょう？,ケロイド
2014,ノーマル,ボクシングで、相手の攻撃を防ぐため相手に組み付くことを何というでしょう？,クリンチ
2014,ノーマル,書や絵画が完成した時に、作者が署名・押印することを何というでしょう？,落款(らっかん)
2014,ノーマル,ハワイ王国第7代国王カラカウア王の命令で建てられた、アメリカ合衆国にある唯一の宮殿は何でしょう？,イオラニ宮殿(いおらにきゅうでん)
2014,ノーマル,洗礼名をヨハネ・マリア・ヴィアンネ、本名を清一郎という俳人で、「降る雪や明治は遠くなりにけり」の句で知られるのは誰でしょう？,中村草田男(なかむら・くさたお)
